,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
42,3N5bwNdig7uRddd3kozENA,"""Popeyes Louisiana Kitchen""",Church-Wellesley Village,"""589 Yonge Street""",Toronto,ON,M4Y 1Z4,43.6660486,-79.3848505,2.5,17,1,Chicken Wings;Fast Food;Restaurants
46,ZBSha-zoPLias7wCQ0ZyVw,"""Gamberoni Restaurant""",,"""3238 Yonge Street""",Toronto,ON,M4N 2L4,43.7295029,-79.4035613,3.0,18,1,Restaurants;Italian
47,DkBer3JjUGfKEsZCLtfgvA,"""Crave Healthy Habits""",Financial District,"""TD Centre Food Hall, 100 Wellington Street W""",Toronto,ON,M5K 1A1,43.6471768,-79.3815764,4.0,11,1,Salad;Restaurants;Vegetarian;Gluten-Free
48,yHCoJZh5nx0Onr5xgMaUHg,"""Galleria Supermarket""",,"""865 York Mills Road""",Toronto,ON,M3B 1Y6,43.7537215,-79.3494213,4.0,92,1,Grocery;International Grocery;Food;Korean;Ethical Grocery;Restaurants
49,GlKEm1HSox2sQeOjcvXrYw,"""Caldense & Bakery""",The Junction,"""337 Symington Avenue""",Toronto,ON,M6P 3X1,43.6664163,-79.4514967,3.0,13,1,Food;Coffee & Tea;Bakeries;Desserts
51,KENynjpbyq33DjGWXOip2Q,"""Pizza Nova""",,"""3928 Keele Street""",Toronto,ON,M3J,43.7627677917,-79.4914169312,4.5,5,1,Pizza;Restaurants
54,Xq9SvfRq_PBr8ma6vwh_Mw,"""Pizza Pizza""",,"""1393 Lawrence Avenue W""",Toronto,ON,M6L 1A4,43.7084148,-79.4758842,3.5,3,1,Chicken Wings;Restaurants;Pizza;Italian
55,wrbF8GuuXY5hNj8AeiOulg,"""Culinary Adventure""",,"""""",Toronto,ON,M4B,43.7063972,-79.309937,5.0,11,1,Wine Tours;Walking Tours;Hotels & Travel;Food Tours;Tours
57,_3IE9guLHvAr-kJpH4Zd7Q,"""Urbun Eats Co""",,"""874 Eglinton Avenue E""",Toronto,ON,M4G 2L1,43.7809748006,-79.4151754305,3.5,3,1,Fish & Chips;Restaurants;Poutineries;Burgers
64,IfUkm42SB9D0m_ZbkQ711A,"""The Fish Store & Sandwiches""",Little Italy,"""657 College Street""",Toronto,ON,M6G 1B7,43.6549209,-79.4163139,4.0,138,1,Restaurants;Seafood;Sandwiches
65,fdNolUeNOg7Y9lOYj9wc7g,"""Fix Coffee + Bikes""",Beaconsfield Village,"""80 Gladstone Avenue""",Toronto,ON,M6J 3K9,43.6450154,-79.4283625,4.5,6,1,Local Services;Bike Repair/Maintenance;Shopping;Food;Sporting Goods;Coffee & Tea;Bikes
69,sKIAHIGW0viQGFAMGgQ3Rg,"""Sushi Mugen""",Leslieville,"""1105 Queen Street E""",Toronto,ON,M4M 1K7,43.6620334719,-79.335608385,4.5,6,1,Sushi Bars;Japanese;Restaurants
70,nsoSw8B3teY2FGAEPfiVfA,"""Choi's Kitchen""",Etobicoke,"""3369 Bloor Street W""",Toronto,ON,M8X 1G2,43.6445955,-79.5226903,4.0,6,1,Restaurants;Chicken Wings;Chicken Shop
71,qLCrPakPU9uArigtDu-KiQ,"""Uncle Mikey's""",Brockton Village,"""1597 Dundas Street W""",Toronto,ON,M6K 1T9,43.6496731,-79.4348818,5.0,11,1,Korean;Canadian (New);Restaurants;Tapas Bars
73,Hrj-mkyOkyyjvGeruqDCyg,"""Hula Girl Espresso""",Dufferin Grove,"""456 Ossington Avenue""",Toronto,ON,M6G 3T2,43.6547392,-79.4229743,4.0,4,1,Coffee & Tea;Food
75,t2GtB-aiOzrNnuGxZV190g,"""Diamond Pizza""",East York,"""510 Main Street""",Toronto,ON,M4C 4Y2,43.6947165,-79.3048792,2.0,13,1,Pizza;Restaurants
80,5vgieFiCubi43G6ciiFhNQ,"""CC Lounge & Whisky Bar""",St. Lawrence,"""45 Front Street E""",Toronto,ON,M5E 1B3,43.6479658,-79.3745153,4.5,53,1,Restaurants;Whiskey Bars;Nightlife;Bars;American (Traditional);Cocktail Bars;Dance Clubs;Lounges
83,x1IPOlH_O5D3qZdZo6YyEA,"""Florentia""",Mount Pleasant and Davisville,"""579 Mount Pleasant Road""",Toronto,ON,M4S 2M5,43.7035596,-79.3879764,3.5,17,1,Restaurants;Italian
84,tjKpw0PIymLyd5dWTYh2aQ,"""Bagel World""",,"""336 Wilson Avenue""",Toronto,ON,M3H 1S9,43.7368719,-79.4376865,3.5,27,1,Bagels;Food
85,1W_gZM_uuEvJqapbIl6z9Q,"""El Charro""",Cabbagetown,"""582 Parliament Street""",Toronto,ON,M4X 1P8,43.6677846,-79.3697286,4.5,31,1,Restaurants;Food Stands;Street Vendors;Food;Mexican
86,xfbjRpE3yhRQ9Zw-D_mBgQ,"""Nunu Ethiopian Fusion""",Beaconsfield Village,"""1178 Queen Street W""",Toronto,ON,M6J 2J5,43.642969,-79.4257048,4.0,70,1,Restaurants;Ethiopian
94,marrqbEXmEgyY90Or2vqKw,"""Tim & Sue's No Frills""",The Junction,"""372 Pacific Ave""",Toronto,ON,M6P 2R1,43.664243,-79.4686437,3.0,20,1,Food;Grocery
95,X5_S7gY8LZdebxMzAGd9Kw,"""The Cake Boutique""",,"""358 Wilson Ave""",Toronto,ON,M3H 1T4,43.7368037,-79.4384246,1.5,3,1,Bakeries;Food
101,RjZP38S11LqnPcoMxHESug,"""Burro Burrito""",Entertainment District,"""388 Richmond Street W""",Toronto,ON,M5V 3P1,43.6481029,-79.394857,4.0,38,1,Restaurants;Mexican
103,LquC3-q4KBVle6HSE5cRjQ,"""LCBO""",Liberty Village,"""85 Hanna Avenue, Unit 103""",Toronto,ON,M6K 3S3,43.639626747,-79.4205495715,3.0,10,1,Beer;Wine & Spirits;Food
105,nA4jm1nIdSXZTKd5TYH79A,"""The Works Gourmet Burger Bistro""",Swansea,"""2245 Bloor Street W""",Toronto,ON,M6S 1N6,43.6507359,-79.4774407,3.5,58,1,Burgers;Restaurants
107,XBDe0pFAw1B32tpAQN5t2g,"""holts café""",Yorkville,"""50 Bloor Street West, Fl 2""",Toronto,ON,M4W 1A1,43.6703401,-79.3882622,3.5,38,1,Cafes;Breakfast & Brunch;Restaurants
111,riZF4Vy3yBQSs-WPBhsLbQ,"""Gigabites""",Koreatown,"""618 Bloor Street W""",Toronto,ON,M6G 1K7,43.6646463,-79.4139523,2.5,3,1,Food;Shopping;Internet Cafes
112,nEmEaEtnkFO7VW25e2ZDsQ,"""Downtown Deli""",Downtown Core,"""4 Temperance Street""",Toronto,ON,M5H 1Y4,43.6510992,-79.3791616,3.5,9,1,Burgers;Restaurants;Delis
113,E1WG9lbypCMKlKhAjzWRsQ,"""520 BBQ House""",Milliken,"""3290 Midland Avenue, Unit 1""",Toronto,ON,M1V 3Z9,43.8064588,-79.2894695,3.5,6,1,Barbeque;Restaurants;Chinese
118,LCb2moBNkcBto_32rmZJ5A,"""Echo Sushi""",Mount Pleasant and Davisville,"""2036 Yonge Street""",Toronto,ON,M4S 1Z9,43.7012899,-79.3972257,4.0,147,1,Buffets;Japanese;Sushi Bars;Restaurants
121,4xwJkSxXwNEL4pIh2Q4soA,"""Cheese Emporium""",Greektown,"""479 Danforth Avenue""",Toronto,ON,M4K 1P1,43.6779447,-79.349715,3.0,4,1,Food;Cheese Shops;Specialty Food
122,4kDLEb1OgE7IrO54lCkn3A,"""Cocina Economica""",Corktown,"""141 Berkeley Street""",Toronto,ON,M5A 2X1,43.6549273753,-79.3654748869,4.0,117,1,Mexican;Restaurants;Latin American
123,SucJwTrxbA0ko8V0HddGzg,"""Thai Chef Cuisine""",Roncesvalles,"""233 Roncesvalles Avenue""",Toronto,ON,M6R 2L6,43.6461824,-79.4488725,3.5,31,1,Restaurants;Thai
128,ajMgo23H5Qcn7Ma-xtiCqQ,"""High Park Spicy House""",The Junction,"""3020 Dundas St W""",Toronto,ON,M6P 1Z3,43.6657071,-79.4700637,3.0,14,1,Restaurants;Indian
130,eTY4spa1fbdrcXVXSg8tyw,"""M&M Meat Shops""",Entertainment District,"""340 Front Street W""",Toronto,ON,M4W 1A7,43.6432834,-79.3917677,3.5,7,1,Grocery;Meat Shops;Specialty Food;Food
132,0Hy2VE9tqTo4QbovMz3xrQ,"""Masala Kitchen""",,"""1871 O'Connor Drive""",Toronto,ON,M4A 1X1,43.7221884,-79.3032361,4.0,13,1,Restaurants;Indian
134,j28T6ZuP1mLHe3m36COOpQ,"""DaanGo Cake Lab""",Milliken,"""3380 Midland Ave, Unit 11""",Toronto,ON,M1V 5B5,43.8091192,-79.2908297,4.0,44,1,Desserts;Macarons;Food;Specialty Food;Bakeries
135,2zd-1R3CdnaMDXTAEVa2Qg,"""Bom Apetite Churrasqueira""",Etobicoke,"""1176 The Queensway""",Toronto,ON,M8Z 1R5,43.6223284,-79.5218184,2.5,9,1,Portuguese;French;Restaurants
137,OlSpcJY_nXqWbdwdg4SNvA,"""Global Imperial Cuisine""",Scarborough,"""23 Glen Watford Drive, Suite 9""",Toronto,ON,M1S 2B7,43.7868737054,-79.2739297049,3.0,28,1,Asian Fusion;Chinese;Restaurants
138,LicRxsh4jX9NZEiO_e5R7w,"""Royal York Meat Market""",Etobicoke,"""392 Royal York Road""",Toronto,ON,M8Y 2R3,43.6189723,-79.4997271,4.0,5,1,Specialty Food;Meat Shops;Food
139,z1jWE9gO4ehWJESM_H7zpA,"""Icha Tea""",Chinatown,"""235 Spadina Avenue, Unit 4""",Toronto,ON,M5T 2E2,43.6514148332,-79.397053919,4.5,56,1,Tea Rooms;Coffee & Tea;Food;Desserts
140,S9-8BjiC0G_58fIeezypPQ,"""Freshii""",Downtown Core,"""23 College Street""",Toronto,ON,M5G 2B3,43.6609874,-79.383889,3.0,34,1,Ice Cream & Frozen Yogurt;Breakfast & Brunch;Juice Bars & Smoothies;Restaurants;Food;Vegetarian
141,fQwB9Z98YEhkJit7c3z51A,"""The Carbon Bar""",Corktown,"""99 Queen Street E""",Toronto,ON,M5C 1S2,43.6531872634,-79.3747868766,4.0,268,1,Restaurants;Cocktail Bars;Nightlife;Barbeque;Bars;Southern;American (Traditional);Canadian (New)
143,bEVWHtBRYVwqaaNF4mWNYg,"""Coquine Restaurant""",Mount Pleasant and Davisville,"""2075 Yonge Street""",Toronto,ON,M4S 2A4,43.7025524249,-79.3972819847,4.0,122,1,French;Restaurants
145,H-EaRHT1tQXUl7vqYqiMgw,"""Farmacia Juice Bar""",The Beach,"""2096 Queen Street E""",Toronto,ON,M4E 1E1,43.6710815,-79.296051,3.5,13,1,Juice Bars & Smoothies;Food
152,NoDhna4BsDhcl7xRPmZJzQ,"""Nama Sushi""",,"""750 St. Clair Avenue W""",Toronto,ON,M6C 1B5,43.6813834,-79.42814,4.0,32,1,Soup;Salad;Sushi Bars;Restaurants
154,g5z098T0A5t4wTJ-l7_2xw,"""Tung Hing Bakery Company""",Riverdale,"""674 Gerrard Street E""",Toronto,ON,M4M 1Y3,43.6662352,-79.349694,4.5,7,1,Food;Bakeries
162,LTEVTg3qCGnlGaExZMAejw,"""No Bull Burgers""",The Beach,"""1019 Kingston Road""",Toronto,ON,M4E 1T3,43.6805751,-79.2850701,4.0,62,1,Restaurants;Burgers
165,gtfLQysuCBEAQk3wwWxwTg,"""Viva Napoli""",Mount Pleasant and Davisville,"""679 Mt Pleasant Road""",Toronto,ON,M4S,43.7057591,-79.3889253,3.5,67,1,Italian;Pizza;Restaurants
171,qCTuGaciae73u7C57s2_0Q,"""Poonam Delite""",The Danforth,"""2658 Danforth Avenue""",Toronto,ON,M4C 1L4,43.6888991,-79.2995013,3.5,19,1,Indian;Restaurants
179,s5lxA2x_p8laP0kO-JWG8Q,"""Freshly Squeezed""",Yonge and Eglinton,"""2200 Yonge Street""",Toronto,ON,M4S 2B8,43.706106,-79.3984606,3.5,3,1,Food;Juice Bars & Smoothies
181,nNVkOU4VCJk866ixG9j95Q,"""Chopstixpress""",,"""2270 Keele Street""",Toronto,ON,M6M 2P5,43.702525,-79.4771997,4.0,6,1,Restaurants;Chinese;Soup;Fast Food;Noodles
182,PPubJ0Nre_VIody7aj_ALg,"""Harvest Noon""",University of Toronto,"""16 Bancroft Avenue, 2nd Floor""",Toronto,ON,M5S 1C1,43.6607028,-79.4001796,4.0,9,1,Restaurants;Vegan
188,BZm3QkpLhO2TBNHKd0DbBQ,"""Gabby's Bar and Grill""",The Annex,"""192 Bloor St. W.""",Toronto,ON,M5S 1T8,43.6686913,-79.395277,2.5,64,1,Restaurants;Bars;American (Traditional);Beer;Wine & Spirits;Nightlife;Seafood;Food;Canadian (New)
189,DvXpWBz5_-hZQuvu-RnSwQ,"""The Food Shop""",Kensington Market,"""209 Augusta Avenue""",Toronto,ON,M5T 2L4,43.6540622,-79.4014786,3.5,9,1,Specialty Food;Food;Italian;Restaurants
191,i_0rSAui4zaz4ydVaOZ6bQ,"""Marcello's Market & Deli""",Downtown Core,"""40 King St W""",Toronto,ON,M5H 1B6,43.6493491,-79.3795277,3.5,4,1,Caterers;Restaurants;Delis;Event Planning & Services
192,k9AaulyfonmUlkmI3uMiQQ,"""Capitol Trattoria Pizzeria""",Little Italy,"""597 College Street""",Toronto,ON,M6G 1B5,43.6551928,-79.4139538,2.5,25,1,Restaurants;Italian;Event Planning & Services;Pizza;Caterers
195,I6-vbrCv8eY-ThUn8viopA,"""Herbie's Herbs""",Alexandra Park,"""556 Queen Street W""",Toronto,ON,M5V 2B5,43.6475012,-79.4031181,3.0,5,1,Specialty Food;Food;Herbs & Spices;Health Markets
202,SGIngUI_qmRBDM0_3b55jg,"""Burger Shoppe""",Riverdale,"""688 Queen Street E""",Toronto,ON,M4M 1G9,43.658803,-79.3506848,3.0,48,1,Burgers;Restaurants;American (Traditional)
203,HrdlQAVfnaUXcHuKnVh2mg,"""City Market""",Entertainment District,"""111 Peter Street""",Toronto,ON,M5V 2H1,43.6480662553,-79.3931178204,3.5,6,1,Food;Specialty Food
207,c78Pat78fVUBFPXYeVvbaQ,"""Odd Seoul""",Ossington Strip,"""90 Ossington Avenue""",Toronto,ON,M6J 2Y7,43.64619,-79.419686,4.0,223,1,Nightlife;Asian Fusion;Korean;Bars;Dive Bars;Restaurants
214,kMSigAcVWboEHRBzyiiScA,"""Sonic""",Chinatown,"""60 Cecil Street""",Toronto,ON,M5T 1N6,43.6563368012,-79.3988011844,4.0,13,1,Coffee & Tea;Food
215,e_ILiIs2pVpskfeL-zFtTw,"""Leña Restaurante""",Downtown Core,"""176 Yonge Street""",Toronto,ON,M5C 2L7,43.6517906,-79.3801688,3.0,124,1,Cocktail Bars;Nightlife;Spanish;Restaurants;Bars;Latin American
217,CPcy22Hd2F7z0EKG66FMRA,"""The Old House""",Scarborough,"""3 Glen Watford Drive""",Toronto,ON,M1S 2B7,43.786989,-79.276122,3.5,24,1,Chinese;Restaurants;Local Services
221,XLc5WIzafCocqsycQhvEPw,"""Goods & Provisions""",Leslieville,"""1124 Queen Street E""",Toronto,ON,M4M,43.6623424,-79.3351969,4.0,82,1,Bars;Nightlife;Restaurants;Gastropubs
224,ai9r_wv56TPzwtrfUEPXTw,"""Maurya East Indian Roti""",Liberty Village,"""150 E Liberty Street""",Toronto,ON,M6K 3R5,43.6387753,-79.4162573,3.0,25,1,Indian;Restaurants
226,mBB2MMG4fbJkdRNnQrHm0g,"""Teavana""",,"""1800 sheppard Avenue""",Toronto,ON,M2J 5A8,43.7760796,-79.3436306,2.0,4,1,Coffee & Tea;Food
227,kQGJ5QUJ0BAIpmYYtf7Uqw,"""Upper Deck By Fran's""",Downtown Core,"""2-20 College Street""",Toronto,ON,M5G 1K2,43.6614505,-79.384068,3.0,25,1,Venues & Event Spaces;Nightlife;Event Planning & Services;Bars;Restaurants;American (Traditional)
228,X184O0qgC5MKvePbsSe-nA,"""Sushi On the Run""",Downtown Core,"""444 Yonge Street""",Toronto,ON,M5B 2H4,43.6610059,-79.383213,3.5,19,1,Event Planning & Services;Caterers;Sushi Bars;Restaurants
229,Xyaw8gVBFDdn6rp_NtLhnw,"""Neighbor Wang""",Downtown Core,"""389 Church Street""",Toronto,ON,M5B 2A1,43.6615274,-79.3788491,3.0,27,1,Restaurants;Noodles;Chinese
230,k99J9BJuHeUBNOCxV6D97A,"""Noble Coffee""",The Junction,"""1421 Bloor Street W""",Toronto,ON,M6P 3L4,43.657146264,-79.4478765875,5.0,6,1,Food;Cafes;Coffee & Tea;Restaurants;Sandwiches
231,Eo4s6CmPpEcXCkfg9Zk_EA,"""Pizza Hut""",Summer Hill,"""1086 Yonge Street""",Toronto,ON,M4W 2L4,43.6778423,-79.3901749,2.0,5,1,Chicken Wings;Italian;Restaurants;Pizza
233,XHt5luPZl7jYZrF56Rnp0Q,"""Halibut House""",East York,"""3003 Danforth Avenue""",Toronto,ON,M4C,43.6905454536,-79.2885895818,3.5,5,1,Fish & Chips;Breakfast & Brunch;Restaurants
234,sETpHfJy4dmbawM5iYNTrg,"""Wild Wing""",Queen Street West,"""225 Queen St W""",Toronto,ON,M5V 1Z4,43.6504317,-79.3880904,1.5,28,1,Restaurants;Chicken Wings
236,Y7wIhT6UvCukRYTTS5ErFQ,"""Le Trou Normand Restaurant""",Yorkville,"""90 Yorkville Ave""",Toronto,ON,M5R 1B9,43.6710492,-79.391714,2.5,10,1,French;Restaurants
240,-ltD-dHqdZ5-wjAMKYa6Ng,"""La Bella Managua""",Christie Pits,"""872 Bloor Street W""",Toronto,ON,M6G 1M5,43.6622312,-79.4249898,4.5,159,1,Restaurants;Nicaraguan;Latin American
247,BniKRU3VRju7IAy5bn2RXQ,"""The Caribbean Queen of Patties""",Bloordale Village,"""1294 Bloor Street W""",Toronto,ON,M6H 1N9,43.6585983,-79.4421236,3.0,7,1,Caribbean;Restaurants;Specialty Food;Food
250,RJMblVTTzmEefL8Cge_TrQ,"""T|Bar""",Downtown Core,"""Chelsea Hotel, 33 Gerrard Street W""",Toronto,ON,M5G 1Z4,43.658428,-79.3831689,3.5,10,1,Nightlife;Bars;Indian;Restaurants;Hotels;Hotels & Travel;Event Planning & Services
253,UqcCjCbN2SIiAGm9YyaNwg,"""The Shmooz""",Riverdale,"""590 Pape Avenue""",Toronto,ON,M4K 3R8,43.6751912,-79.3434759,4.5,15,1,Tea Rooms;Cafes;Coffee & Tea;Restaurants;Food
254,7qHU_Zh5qEJP3DaaBHqWBg,"""Saigon Lotus""",Chinatown,"""6 St Andrew Street""",Toronto,ON,M5T 1K6,43.6543257,-79.3990234,4.5,82,1,Thai;Restaurants;Vietnamese;Vegan;Vegetarian
256,NdvUzwz3jAM7Hao_UPMu6g,"""Popeyes Louisiana Kitchen""",Chinatown,"""267 College Street""",Toronto,ON,M5T 1R6,43.6576683,-79.3996063,2.5,15,1,Fast Food;Restaurants;Chicken Wings
257,ithS085HZL2d6Sx3PTxFew,"""Clara's Tea""",Ryerson,"""384 Yonge Street, Suite 16""",Toronto,ON,M5B,43.659154,-79.3821435,4.0,4,1,Tea Rooms;Food
258,kKNauD7d3HOvumRV7JIAfg,"""Knuckle Sandwich""",East York,"""969 Coxwell Avenue""",Toronto,ON,M4C 3G4,43.6962242,-79.3288728,4.0,68,1,Poutineries;Event Planning & Services;Caterers;Restaurants;Sandwiches
267,Dj-SKw-awL_g7rHgCbCOew,"""Popeyes Louisiana Kitchen""",Greektown,"""523 Danforth Avenue""",Toronto,ON,M4K 1P7,43.6782397,-79.3482024,1.5,9,1,Restaurants;Fast Food;American (Traditional)
271,YLeAUkFFJri_21uTkyrVFg,"""Malaysian Garam Masala""",Scarborough,"""4900-5000 Finch Avenue E""",Toronto,ON,M1S 4K4,43.8089509523,-79.2636310418,4.0,4,1,Indian;Food;Restaurants;Malaysian
274,gzomja0V-gAHJckvwwwFCQ,"""Shopsy's Deli & Restaurants""",Downtown Core,"""96 Richmond Street W""",Toronto,ON,M5H 2A3,43.6510886,-79.3829192,3.0,24,1,Event Planning & Services;Caterers;Restaurants;Delis
275,O1QugfyKD4G636jV43-vkw,"""Swiss Chalet Rotisserie & Grill""",Scarborough,"""2555 Victoria Park Ave""",Toronto,ON,M1T 1A3,43.7733050681,-79.3217043851,3.0,10,1,American (Traditional);Barbeque;Restaurants;Comfort Food
276,tzc4EeQ2ZrvByYxU9r1Gdw,"""Bibap Express""",Financial District,"""The Path - the Lanes""",Toronto,ON,,43.648933,-79.382865,4.0,5,1,Restaurants;Korean
278,Pw810UknCf7fhjNIUSrVyg,"""Anchan Thai Kitchen""",Niagara,"""934 King Street W""",Toronto,ON,M5V 1P5,43.6422885,-79.4113172,2.0,4,1,Restaurants;Noodles;Thai;Soup
280,nHFJtud7jWZhM9dHQ1eIRA,"""Buk Chang Dong Soon Tofu""",Koreatown,"""691 Bloor Street W""",Toronto,ON,M6G 1L3,43.6636232,-79.4169815,4.0,381,1,Korean;Restaurants
293,Ae4ABFarGMaI5lk1i98A0w,"""Himalayan Kitchen""",Parkdale,"""1526 Queen Street W""",Toronto,ON,M6R 1A1,43.6402599,-79.438905,4.5,47,1,Restaurants;Indian;Himalayan/Nepalese
294,CDkYh0Xq-RTfHAw7e_l-sA,"""Captain Cookes Fish and Chips""",Corktown,"""219 Parliament Street""",Toronto,ON,M5A 2Z4,43.656797,-79.3647191,4.0,5,1,Seafood;Restaurants
296,RaVI3l5uEbH5dD2bJJzObw,"""South St. Burger""",Financial District,"""360 Bay Street, Unit A""",Toronto,ON,M5H 2V6,43.6507191125,-79.381404072,3.5,23,1,Restaurants;Burgers;Fast Food
298,GMrFxo9zw2xoTfPV-jQlYg,"""Umami Sushi""",,"""3459 Bathurst Street""",Toronto,ON,M6A 2C5,43.7286207,-79.431533,4.5,6,1,Restaurants;Japanese;Kosher;Sushi Bars
299,j0aiaJkrU-5VgbCsdx-txg,"""Chris Jerk Caribbean Bistro""",Scarborough,"""2570 Birchmount Road""",Toronto,ON,M1T 2M5,43.7903314,-79.302267,4.5,217,1,Caribbean;Middle Eastern;Restaurants
301,i346KkU_VBIiGp7ifMTTlw,"""Domino's Pizza""",,"""1906 Jane Street""",Toronto,ON,M9N 2T8,43.7100712,-79.5057245,1.5,3,1,Restaurants;Pizza
303,dLIk8-OHVzClGqtb1M91KA,"""Tim Hortons""",Leslieville,"""1000 Gerrard St E""",Toronto,ON,M4M 3G6,43.6692568,-79.3383477,2.5,5,1,Restaurants;Sandwiches;Delis
306,bsFZnc2mYyGy5cFf5EWTWg,"""Aji Sai Japanese Restaurant""",Queen Street West,"""467 Queen Street W""",Toronto,ON,M5V,43.6483773,-79.3974007,3.0,254,1,Japanese;Restaurants
309,PkIRnmb6Fkf9Jv6pEct7Dw,"""Jodys Sundays & Deli""",Scarborough,"""777 Warden Avenue""",Toronto,ON,M1L 4C3,43.7243991,-79.285819,3.0,4,1,Restaurants;Delis
311,r6LmPZz1GEVtywLHVbN9LA,"""Tim Hortons""",Chinatown,"""455 Spadina Avenue""",Toronto,ON,M5S 1A1,43.6581636,-79.3999875,2.0,5,1,Food;Coffee & Tea
316,-KqJjXDhqq6Ah5cMiF-sug,"""Sharetea""",Willowdale,"""15 Northtown Way, Unit 22""",Toronto,ON,M2N 7A2,43.7748502,-79.4132667,4.0,46,1,Bubble Tea;Food;Coffee & Tea;Juice Bars & Smoothies
318,pOEL97ld-FJMKO8Ki8JmYg,"""Oliver & Bonacini Café Grill""",Bayview Village,"""2901 Bayview Avenue""",Toronto,ON,M2K 1E6,43.7681639838,-79.3864043032,3.0,233,1,Canadian (New);Italian;Restaurants;American (Traditional)
319,ufwkkMd9yr9cFU1R5ONArg,"""Huevos Gourmet""",New Toronto,"""2888 Lake Shore Boulevard W""",Toronto,ON,M8V 1J2,43.6012391,-79.5037742,4.5,129,1,Restaurants;Breakfast & Brunch;French;Mexican
323,crfd5AVZ39VugewuH5A7Vw,"""Long Tea""",Chinatown,"""338 Spadina Avenue""",Toronto,ON,M5T 2G2,43.6540394,-79.3988128,3.0,6,1,Food;Desserts
